mat_cells,Young's Modulus,Poisson Ratio,Yield Strength,CTE,Thermal Conductivity,Density,Specific Heat Capacity,Enthalpy of Oxidation,HCS,CSC
68,157103263523.9472,0.3,530673120.0379999,1.1700574200000002e-05,19.104898,8119.5671999999995,571.0149151799432,301.27032128906257,3.2147036,0.8447699999999999
69,157020981775.12305,0.3,477250026.1769999,1.1423000550000001e-05,18.493855250000003,8114.4558,568.1674029427826,306.547390625,2.8746781,0.79411
70,156685887841.1269,0.3,511023959.476,1.11720959e-05,17.763303500000003,8111.1284,563.8230947850781,311.793169921875,2.158206199999999,0.6481099999999997
71,156354520512.88083,0.3,544875010.315,1.094265025e-05,17.13645075,8109.993,558.5619008031792,317.10310546875,1.4642785,0.50843
72,156026612859.69672,0.3,578799268.154,1.06926846e-05,17.853468000000003,8113.265899999999,552.5208627783583,322.408689453125,0.9202192999999996,0.45330999999999994
73,155749999999.99982,0.3,612861178.803,1.047160495e-05,18.695876250000005,8118.8559000000005,546.2223551933678,327.6837412109375,0.6468383999999996,0.41463999999999995
74,155499999999.99985,0.3,647250684.192,1.02816573e-05,19.677976500000007,8126.8081999999995,540.1365521549486,332.782345703125,0.4087127999999998,0.35852
75,155249999999.99976,0.3,681630280.751,1.012421765e-05,20.818206750000005,8137.152400000001,534.5931999624684,337.873083984375,0.17333819999999972,0.2751399999999999
76,155000000000.0,0.3,716000000.0,1e-05,22.14,8149.9,529.8,342.979314453125,0.0100164,0.16694
77,169904856324.38904,0.3,885665374.25,1.4195175e-05,21.977087,8110.341,511.26058550626647,372.165390625,0.3897994,0.19119
78,171053698738.74838,0.3,881738181.6191849,1.40969966705258e-05,21.883005546224485,8112.758265638752,511.3496011978264,371.38320529403444,0.40745012268057906,0.19744299436081644
79,172252735312.51343,0.3,877933898.9023132,1.4006027635591784e-05,21.78961512805985,8115.00316713334,511.4387889643165,370.60321197460223,0.42682818442366854,0.20427752448581676
80,173495818740.59753,0.3,874240020.9876288,1.3922001410030146e-05,21.696822783699943,8117.1189537202,511.5281372264482,369.8249350795732,0.4478425664149868,0.21167756667784088
81,174776733284.9244,0.3,870644370.3176976,1.384467970486915e-05,21.60458995533084,8119.138074741255,511.6176572910927,369.04804035833723,0.46664453313700344,0.2177368063014418
82,176089552681.7996,0.3,867135258.4713308,1.3773840550495189e-05,21.512881443817243,8121.095733352469,511.707332505752,368.27941592380057,0.4796610805979148,0.22086128773956687
83,177428768621.2151,0.3,863701400.6203046,1.3709282186011422e-05,21.421695569931888,8123.015409342655,511.79725285557913,367.52115936989685,0.5177429749402436,0.23530189174480326
84,178478195617.8296,0.3,860058899.2060081,1.3650825521377871e-05,21.331056289139937,8124.921700123228,511.88729502558255,366.75355246109723,0.558379778692757,0.2504926639498161
85,177426959449.88937,0.3,854371861.8852788,1.3586094139667736e-05,21.2638353845534,8126.792777317749,511.97735388282103,365.9191993400126,0.6012098454275611,0.26617498671107226
86,176279576440.75992,0.3,848791218.2961671,1.3421978378550753e-05,21.390379655232866,8128.207786557442,512.0661476311099,365.08216532310536,0.6413375735915153,0.2813860912321471
87,175142144375.27283,0.3,843342013.3042458,1.3262116090053185e-05,21.507488508387862,8129.390989585256,512.154988617882,364.2442425351217,0.6808765624138493,0.2974047880450901
